num,v,value,solution_path,time
35,6,371.17605340610794,"Any[(1, 23), (1, 30), (2, 26), (2, 35), (3, 10), (3, 12), (4, 9), (4, 35), (5, 20), (5, 25), (6, 29), (6, 33), (7, 17), (7, 29), (8, 9), (8, 21), (10, 14), (11, 28), (11, 33), (12, 28), (13, 16), (13, 30), (14, 19), (15, 18), (15, 34), (16, 18), (17, 26), (19, 27), (20, 23), (21, 31), (22, 24), (22, 34), (24, 32), (25, 31), (27, 32)]",0.06599998474121094
35,7,336.323566407028,"Any[(1, 20), (1, 29), (2, 22), (2, 31), (3, 5), (3, 27), (4, 7), (4, 19), (5, 24), (6, 8), (6, 17), (7, 26), (8, 14), (9, 16), (9, 33), (10, 23), (10, 35), (11, 15), (11, 32), (12, 18), (12, 34), (13, 16), (13, 28), (14, 21), (15, 26), (17, 25), (18, 32), (19, 33), (20, 31), (21, 24), (22, 35), (23, 27), (25, 30), (28, 30), (29, 34)]",0.018999814987182617
35,8,323.5547608375699,"Any[(1, 16), (1, 23), (2, 18), (2, 25), (3, 11), (3, 32), (4, 9), (4, 14), (5, 11), (5, 28), (6, 15), (6, 22), (7, 17), (7, 35), (8, 22), (8, 30), (9, 33), (10, 12), (10, 29), (12, 20), (13, 25), (13, 34), (14, 17), (15, 23), (16, 32), (18, 31), (19, 20), (19, 34), (21, 26), (21, 28), (24, 26), (24, 31), (27, 29), (27, 33), (30, 35)]",0.1680002212524414
35,9,339.85993921990234,"Any[(1, 9), (1, 11), (2, 4), (2, 24), (3, 10), (3, 35), (4, 6), (5, 7), (5, 21), (6, 13), (7, 34), (8, 28), (8, 30), (9, 15), (10, 31), (11, 26), (12, 24), (12, 33), (13, 31), (14, 18), (14, 25), (15, 23), (16, 22), (16, 27), (17, 29), (17, 35), (18, 20), (19, 22), (19, 34), (20, 28), (21, 29), (23, 32), (25, 32), (26, 27), (30, 33)]",0.04799985885620117
35,10,335.959301857338,"Any[(1, 2), (1, 17), (2, 21), (3, 25), (3, 26), (4, 13), (4, 20), (5, 6), (5, 18), (6, 10), (7, 17), (7, 28), (8, 16), (8, 28), (9, 10), (9, 25), (11, 12), (11, 23), (12, 29), (13, 31), (14, 15), (14, 19), (15, 22), (16, 30), (18, 33), (19, 30), (20, 29), (21, 23), (22, 24), (24, 35), (26, 27), (27, 32), (31, 32), (33, 34), (34, 35)]",0.04900002479553223
40,1,390.3200754843796,"Any[(1, 14), (1, 37), (2, 15), (2, 34), (3, 13), (3, 31), (4, 7), (4, 29), (5, 21), (5, 35), (6, 12), (6, 27), (7, 16), (8, 20), (8, 34), (9, 32), (9, 35), (10, 21), (10, 40), (11, 13), (11, 17), (12, 20), (14, 31), (15, 22), (16, 23), (17, 26), (18, 28), (18, 39), (19, 24), (19, 36), (22, 37), (23, 26), (24, 38), (25, 27), (25, 32), (28, 38), (29, 33), (30, 39), (30, 40), (33, 36)]",0.04200005531311035
40,2,401.9259102314103,"Any[(1, 14), (1, 33), (2, 12), (2, 35), (3, 7), (3, 17), (4, 8), (4, 33), (5, 13), (5, 15), (6, 7), (6, 19), (8, 18), (9, 10), (9, 13), (10, 28), (11, 24), (11, 25), (12, 27), (14, 28), (15, 19), (16, 37), (16, 39), (17, 21), (18, 20), (20, 30), (21, 37), (22, 32), (22, 38), (23, 26), (23, 27), (24, 40), (25, 29), (26, 34), (29, 35), (30, 36), (31, 34), (31, 39), (32, 36), (38, 40)]",0.40199995040893555
40,3,440.3687043241215,"Any[(1, 33), (1, 38), (2, 27), (2, 32), (3, 14), (3, 25), (4, 18), (4, 31), (5, 39), (5, 40), (6, 13), (6, 28), (7, 19), (7, 35), (8, 16), (8, 22), (9, 10), (9, 24), (10, 37), (11, 15), (11, 21), (12, 14), (12, 35), (13, 38), (15, 30), (16, 33), (17, 22), (17, 32), (18, 23), (19, 34), (20, 34), (20, 36), (21, 29), (23, 24), (25, 29), (26, 27), (26, 31), (28, 40), (30, 39), (36, 37)]",0.07800006866455078
40,4,431.89628657098353,"Any[(1, 4), (1, 36), (2, 37), (2, 40), (3, 6), (3, 15), (4, 15), (5, 14), (5, 19), (6, 16), (7, 11), (7, 38), (8, 25), (8, 28), (9, 22), (9, 34), (10, 26), (10, 40), (11, 12), (12, 34), (13, 30), (13, 31), (14, 18), (16, 20), (17, 29), (17, 32), (18, 39), (19, 24), (20, 27), (21, 25), (21, 33), (22, 37), (23, 24), (23, 33), (26, 35), (27, 28), (29, 36), (30, 39), (31, 38), (32, 35)]",0.10700011253356934
40,5,401.7206893058848,"Any[(1, 18), (1, 34), (2, 22), (2, 37), (3, 33), (3, 39), (4, 28), (4, 38), (5, 18), (5, 30), (6, 14), (6, 30), (7, 25), (7, 27), (8, 11), (8, 29), (9, 13), (9, 40), (10, 19), (10, 21), (11, 19), (12, 14), (12, 16), (13, 26), (15, 17), (15, 38), (16, 17), (20, 29), (20, 37), (21, 23), (22, 36), (23, 34), (24, 33), (24, 40), (25, 31), (26, 28), (27, 32), (31, 39), (32, 35), (35, 36)]",0.03899979591369629
